"match id","series id","end time","duration (s)","mode","map","team","player","win?","score","kills","deaths","+/-","k/d","kills per 10min","deaths per 10min","assists","headshots","suicides","team kills","hits","shots","accuracy (%)","avg kill dist (m)","fave weapon","fave rig","fave payload","fave trait","fave scorestreaks","hill time (s)","hill captures","hill defends","snd rounds","snd firstbloods","bomb pickups","bomb plants","bomb defuses","bomb sneak defuses","uplink dunks","uplink throws","uplink points","2-piece","3-piece","4-piece","multikills","4-streak","5-streak","6-streak","7-streak","8+-streak","4+-streak","scorestreaks earned","scorestreaks used","payloads earned","payloads used"
"3A6D1AC2-1118-11D3-A6EB-0CFE456F15BE","champs-pool-A-3","2017-08-09 14:11:50 UTC","480.0","Hardpoint","Retaliation","Echo Fox","Methodz","L","106","12","19","-7","0.63","15.0","23.8","5","1","0","0","74","422","17.5%","23.1m","NV4","Phantom","Active Camo","Rearguard","Scarab, Trinity Rocket, Bombardment","8","2","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0"
"3A6D1AC2-1118-11D3-A6EB-0CFE456F15BE","champs-pool-A-3","2017-08-09 14:11:50 UTC","480.0","Hardpoint","Retaliation","Echo Fox","mosh","L","106","19","20","-1","0.95","23.8","25.0","5","0","0","0","97","458","21.2%","24.1m","NV4","FTL","FTL Jump","Power Slide","Scarab, Trinity Rocket, Bombardment","34","2","0","0","0","0","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","1","1","1","1","1"
"3A6D1AC2-1118-11D3-A6EB-0CFE456F15BE","champs-pool-A-3","2017-08-09 14:11:50 UTC","480.0","Hardpoint","Retaliation","Echo Fox","MRuiz","L","106","12","23","-11","0.52","15.0","28.8","6","2","0","0","71","508","14.0%","14.0m","KBAR-32","Stryker","Centurion","Trophy Drone","Scarab, Trinity Rocket, Bombardment","43","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3A6D1AC2-1118-11D3-A6EB-0CFE456F15BE","champs-pool-A-3","2017-08-09 14:11:50 UTC","480.0","Hardpoint","Retaliation","Echo Fox","Replays","L","106","15","17","-2","0.88","18.8","21.2","6","2","0","0","76","406","18.7%","17.6m","KBAR-32","Merc","Reactive Armor","Man-at-Arms","Scarab, Trinity Rocket, Bombardment","35","6","4","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0"
"3A6D1AC2-1118-11D3-A6EB-0CFE456F15BE","champs-pool-A-3","2017-08-09 14:11:50 UTC","480.0","Hardpoint","Retaliation","Epsilon","Dqvee","W","250","18","15","+3","1.20","22.5","18.8","9","0","1","1","81","476","17.0%","20.6m","NV4","Phantom","Active Camo","Rearguard","Scarab, Trinity Rocket, Bombardment","33","1","2","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0"
"3A6D1AC2-1118-11D3-A6EB-0CFE456F15BE","champs-pool-A-3","2017-08-09 14:11:50 UTC","480.0","Hardpoint","Retaliation","Epsilon","Hawqeh","W","250","26","13","+13","2.00","32.5","16.2","4","4","0","1","128","612","20.9%","30.7m","KBAR-32","Stryker","Centurion","Trophy Drone","Scarab, Trinity Rocket, Bombardment","140","6","8","0","0","0","0","0","0","0","0","0","3","3","0","6","1","0","1","0","1","3","5","2","1","0"
"3A6D1AC2-1118-11D3-A6EB-0CFE456F15BE","champs-pool-A-3","2017-08-09 14:11:50 UTC","480.0","Hardpoint","Retaliation","Epsilon","Joshh","W","250","16","15","+1","1.07","20.0","18.8","11","2","0","1","90","601","15.0%","15.8m","KBAR-32","Merc","Reactive Armor","Man-at-Arms","Scarab, Trinity Rocket, Bombardment","79","5","0","0","0","0","0","0","0","0","0","0","3","0","0","3","2","0","0","0","0","2","1","1","0","0"
"3A6D1AC2-1118-11D3-A6EB-0CFE456F15BE","champs-pool-A-3","2017-08-09 14:11:50 UTC","480.0","Hardpoint","Retaliation","Epsilon","Vortex","W","250","19","16","+3","1.19","23.8","20.0","7","1","0","0","92","366","25.1%","16.1m","KBAR-32","FTL","FTL Jump","Power Slide","Scarab, Trinity Rocket, Bombardment","37","4","1","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","1","0"
"7585D05E-1118-11D3-3BCD-00D9D1A0B6BB","champs-pool-A-2","2017-08-09 14:13:09 UTC","458.0","Hardpoint","Retaliation","3sUp","Colechan","L","94","14","22","-8","0.64","18.3","28.8","7","0","0","0","80","455","17.6%","17.9m","KBAR-32","FTL","FTL Jump","Power Slide","Scarab, Trinity Rocket, Bombardment","16","2","1","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","1","0"
"7585D05E-1118-11D3-3BCD-00D9D1A0B6BB","champs-pool-A-2","2017-08-09 14:13:09 UTC","458.0","Hardpoint","Retaliation","3sUp","DraMa","L","94","13","21","-8","0.62","17.0","27.5","2","0","0","0","62","315","19.7%","17.4m","KBAR-32","Phantom","Active Camo","Rearguard","Scarab, Trinity Rocket, Scorchers","37","7","2","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0"
