"match id","series id","end time","duration (s)","mode","map","team","player","win?","score","kills","deaths","+/-","k/d","kills per 10min","deaths per 10min","assists","headshots","suicides","team kills","hits","shots","accuracy (%)","fave weapon","fave division","fave training","fave scorestreaks","hill time (s)","hill captures","hill defends","snd rounds","snd firstbloods","snd firstdeaths","bomb pickups","bomb plants","bomb defuses","bomb sneak defuses","ctf captures","ctf returns","ctf pickups","ctf defends","ctf kill carriers","ctf flag carry time (s)","scorestreaks earned","scorestreaks used"
"56925b97-0ea7-5d64-b76b-829c30867fee","pool-B-4","2018-01-12 20:17:50 UTC","578","Hardpoint","Sainte Marie du Mont","Team EnVyUs","Classic","W","250","25","22","+3","1.14","26.0","22.8","9","2","0","0","71","256","27.7%","BAR","Infantry","Hunker","Fighter Pilot, Glide Bomb, Flamethrower","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","3","4"
"56925b97-0ea7-5d64-b76b-829c30867fee","pool-B-4","2018-01-12 20:17:50 UTC","578","Hardpoint","Sainte Marie du Mont","Team EnVyUs","Huke","W","250","32","21","+11","1.52","33.2","21.8","12","2","0","0","138","535","25.8%","PPSh-41","Airborne","Hunker","Fighter Pilot, Glide Bomb, Flamethrower","42","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","2"
"56925b97-0ea7-5d64-b76b-829c30867fee","pool-B-4","2018-01-12 20:17:50 UTC","578","Hardpoint","Sainte Marie du Mont","Team EnVyUs","Slasher","W","250","32","23","+9","1.39","33.2","23.9","13","1","0","0","98","370","26.5%","BAR","Infantry","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","2"
"56925b97-0ea7-5d64-b76b-829c30867fee","pool-B-4","2018-01-12 20:17:50 UTC","578","Hardpoint","Sainte Marie du Mont","Team EnVyUs","Temp","W","250","21","15","+6","1.40","21.8","15.6","8","1","0","0","65","274","23.7%","PPSh-41","Airborne","Hunker","Fighter Pilot, Glide Bomb, Flamethrower","97","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","5","8"
"56925b97-0ea7-5d64-b76b-829c30867fee","pool-B-4","2018-01-12 20:17:50 UTC","578","Hardpoint","Sainte Marie du Mont","Team Vitality","Malls","L","145","24","29","-5","0.83","24.9","30.1","9","1","0","0","100","391","25.6%","PPSh-41","Airborne","Hunker","Fighter Pilot, Glide Bomb, Flamethrower","57","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0.0","1","1"
"56925b97-0ea7-5d64-b76b-829c30867fee","pool-B-4","2018-01-12 20:17:50 UTC","578","Hardpoint","Sainte Marie du Mont","Team Vitality","Riskin","L","145","16","30","-14","0.53","16.6","31.1","13","1","0","0","83","381","21.8%","PPSh-41","Airborne","Hunker","Fighter Pilot, Glide Bomb, Flamethrower","30","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0"
"56925b97-0ea7-5d64-b76b-829c30867fee","pool-B-4","2018-01-12 20:17:50 UTC","578","Hardpoint","Sainte Marie du Mont","Team Vitality","Wailers","L","145","16","27","-11","0.59","16.6","28.0","12","3","0","0","58","273","21.2%","BAR","Infantry","Hunker","Fighter Pilot, Glide Bomb, Flamethrower","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0"
"56925b97-0ea7-5d64-b76b-829c30867fee","pool-B-4","2018-01-12 20:17:50 UTC","578","Hardpoint","Sainte Marie du Mont","Team Vitality","Zayrox","L","145","25","24","+1","1.04","26.0","24.9","6","1","0","0","89","346","25.7%","PPSh-41","Airborne","Hunker","Fighter Pilot, Glide Bomb, Flamethrower","48","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","3","4"
"de8cd827-a723-5abe-a046-5068870a7396","pool-D-4","2018-01-12 20:18:11 UTC","542","Hardpoint","London Docks","Echo Fox","Aqua","W","250","24","22","+2","1.09","26.6","24.4","19","1","0","1","102","434","23.5%","PPSh-41","Airborne","Hunker","Fighter Pilot, Glide Bomb, Mortar Strike","63","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0"
"de8cd827-a723-5abe-a046-5068870a7396","pool-D-4","2018-01-12 20:18:11 UTC","542","Hardpoint","London Docks","Echo Fox","Assault","W","250","26","16","+10","1.62","28.8","17.7","12","3","0","1","94","372","25.3%","BAR","Armored","Scoped","Fighter Pilot, Glide Bomb, Artillery Barrage","77","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0"
