"match id","series id","end time","duration (s)","mode","map","team","player","win?","score","kills","deaths","+/-","k/d","kills per 10min","deaths per 10min","assists","headshots","suicides","team kills","team deaths","kills (stayed alive)","hits","shots","accuracy (%)","num lives","time alive (s)","avg time per life (s)","fave weapon","fave division","fave training","fave scorestreaks","hill time (s)","hill captures","hill defends","snd rounds","snd firstbloods","snd firstdeaths","snd survives","bomb pickups","bomb plants","bomb defuses","bomb sneak defuses","snd 1-kill round","snd 2-kill round","snd 3-kill round","snd 4-kill round","ctf captures","ctf returns","ctf pickups","ctf defends","ctf kill carriers","ctf flag carry time (s)","2-piece","3-piece","4-piece","4-streak","5-streak","6-streak","7-streak","8+-streak","scorestreaks earned","scorestreaks used","scorestreaks deployed","scorestreaks kills","scorestreaks assists"
"b8e8eba3-bdde-5528-8827-d3e457a5a26a","pool-B-5","2018-04-20 21:13:30 UTC","633","Hardpoint","Sainte Marie du Mont","Epsilon","Dqvee","L","188","24","26","-2","0.92","22.7","24.6","13","1","0","0","0","17","104","501","20.8%","27","579.2","21.5","STG-44","","Scoped","Fighter Pilot, Glide Bomb, Artillery Barrage","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","4","0","0","2","0","0","0","0","0","0","0","0","0"
"b8e8eba3-bdde-5528-8827-d3e457a5a26a","pool-B-5","2018-04-20 21:13:30 UTC","633","Hardpoint","Sainte Marie du Mont","Epsilon","Hawqeh","L","188","30","27","+3","1.11","28.4","25.6","14","1","0","0","0","18","136","648","21.0%","27","579.0","21.4","PPSh-41","","armored_grandmaster","Fighter Pilot, Glide Bomb, Mortar Strike","29","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"b8e8eba3-bdde-5528-8827-d3e457a5a26a","pool-B-5","2018-04-20 21:13:30 UTC","633","Hardpoint","Sainte Marie du Mont","Epsilon","Reedy","L","188","30","23","+7","1.30","28.4","21.8","9","2","0","0","0","20","117","548","21.4%","24","586.1","24.4","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","5","0","0","3","0","0","0","0","0","0","0","0","0"
"b8e8eba3-bdde-5528-8827-d3e457a5a26a","pool-B-5","2018-04-20 21:13:30 UTC","633","Hardpoint","Sainte Marie du Mont","Epsilon","Vortex","L","188","21","29","-8","0.72","19.9","27.5","16","0","0","0","0","11","106","446","23.8%","30","570.8","19.0","PPSh-41","","armored_grandmaster","Fighter Pilot, Glide Bomb, Mortar Strike","51","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"b8e8eba3-bdde-5528-8827-d3e457a5a26a","pool-B-5","2018-04-20 21:13:30 UTC","633","Hardpoint","Sainte Marie du Mont","Team EnVyUs","Chino","W","250","27","20","+7","1.35","25.6","19.0","4","0","0","0","0","19","74","286","25.9%","21","591.6","28.2","BAR","","Scoped","Fighter Pilot, Glide Bomb, Artillery Barrage","93","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","3","1","0","1","2","0","0","0","0","0","0","0","0"
"b8e8eba3-bdde-5528-8827-d3e457a5a26a","pool-B-5","2018-04-20 21:13:30 UTC","633","Hardpoint","Sainte Marie du Mont","Team EnVyUs","Classic","W","250","27","29","-2","0.93","25.6","27.5","8","3","0","0","0","18","111","523","21.2%","30","573.1","19.1","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","96","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","1","0","1","0","0","0","0","0","0","0","0","0"
"b8e8eba3-bdde-5528-8827-d3e457a5a26a","pool-B-5","2018-04-20 21:13:30 UTC","633","Hardpoint","Sainte Marie du Mont","Team EnVyUs","Decemate","W","250","26","26","0","1.00","24.6","24.6","12","3","0","0","0","19","135","530","25.5%","27","580.0","21.5","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"b8e8eba3-bdde-5528-8827-d3e457a5a26a","pool-B-5","2018-04-20 21:13:30 UTC","633","Hardpoint","Sainte Marie du Mont","Team EnVyUs","Huke","W","250","25","30","-5","0.83","23.7","28.4","18","1","0","0","0","14","116","486","23.9%","31","567.0","18.3","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","47","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","4","1","0","0","1","0","0","0","0","0","0","0","0"
"76f817bd-83d9-5c53-a716-481812bda0a9","pool-B-1","2018-04-20 21:17:58 UTC","668","Hardpoint","London Docks","OpTic Gaming","Crimsix","L","194","34","41","-7","0.83","30.5","36.8","12","1","0","0","0","19","140","504","27.8%","42","573.3","13.7","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","3","2","0","2","1","0","0","0","0","0","0","0","0"
"76f817bd-83d9-5c53-a716-481812bda0a9","pool-B-1","2018-04-20 21:17:58 UTC","668","Hardpoint","London Docks","OpTic Gaming","Formal","L","194","27","25","+2","1.08","24.3","22.5","18","3","0","0","0","17","125","556","22.5%","26","617.1","23.7","STG-44","","Scoped","Fighter Pilot, Glide Bomb, Mortar Strike","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","2","0","0","1","0","0","0","0","0","0","0","0"
