"match id","series id","end time","duration (s)","mode","map","team","player","win?","score","kills","deaths","+/-","k/d","kills per 10min","deaths per 10min","assists","headshots","suicides","team kills","team deaths","kills (stayed alive)","hits","shots","accuracy (%)","num lives","time alive (s)","avg time per life (s)","fave weapon","fave division","fave training","fave scorestreaks","hill time (s)","hill captures","hill defends","snd rounds","snd firstbloods","snd firstdeaths","snd survives","bomb pickups","bomb plants","bomb defuses","bomb sneak defuses","snd 1-kill round","snd 2-kill round","snd 3-kill round","snd 4-kill round","ctf captures","ctf returns","ctf pickups","ctf defends","ctf kill carriers","ctf flag carry time (s)","2-piece","3-piece","4-piece","4-streak","5-streak","6-streak","7-streak","8+-streak","scorestreaks earned","scorestreaks used","scorestreaks deployed","scorestreaks kills","scorestreaks assists"
"f0a65936-4932-5c7c-a1b5-3a294762b2da","pool-A-3","2018-06-15 21:09:17 UTC","435","Hardpoint","Valkyrie","Red Reserve","Joee","W","250","22","13","+9","1.69","30.3","17.9","9","0","0","0","0","18","99","410","24.1%","14","404.4","28.9","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","52","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","4","1","0","2","1","0","0","0","1","1","1","0","0"
"f0a65936-4932-5c7c-a1b5-3a294762b2da","pool-A-3","2018-06-15 21:09:17 UTC","435","Hardpoint","Valkyrie","Red Reserve","Rated","W","250","11","14","-3","0.79","15.2","19.3","5","1","0","0","0","7","46","229","20.1%","15","402.4","26.8","PPSh-41","","airborne_grandmaster","Fighter Pilot, Glide Bomb, Artillery Barrage","53","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"f0a65936-4932-5c7c-a1b5-3a294762b2da","pool-A-3","2018-06-15 21:09:17 UTC","435","Hardpoint","Valkyrie","Red Reserve","Skrapz","W","250","20","14","+6","1.43","27.6","19.3","7","2","0","0","0","14","95","408","23.3%","15","406.4","27.1","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","138","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"f0a65936-4932-5c7c-a1b5-3a294762b2da","pool-A-3","2018-06-15 21:09:17 UTC","435","Hardpoint","Valkyrie","Red Reserve","Zer0","W","250","21","13","+8","1.62","29.0","17.9","4","2","0","0","0","13","73","399","18.3%","14","407.2","29.1","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","91","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","5","0","0","2","0","0","0","0","0","0","0","0","0"
"f0a65936-4932-5c7c-a1b5-3a294762b2da","pool-A-3","2018-06-15 21:09:17 UTC","435","Hardpoint","Valkyrie","Tainted Minds","Damage","L","90","15","15","0","1.00","20.7","20.7","3","0","0","0","0","11","76","340","22.4%","15","404.2","26.9","BAR","","infantry_grandmaster","Fighter Pilot, Glide Bomb, Artillery Barrage","22","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","0","0","0","1","0","0","0","0","0","0","0","0"
"f0a65936-4932-5c7c-a1b5-3a294762b2da","pool-A-3","2018-06-15 21:09:17 UTC","435","Hardpoint","Valkyrie","Tainted Minds","Nimble","L","90","16","23","-7","0.70","22.1","31.7","3","1","0","0","0","8","78","381","20.5%","24","388.0","16.2","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"f0a65936-4932-5c7c-a1b5-3a294762b2da","pool-A-3","2018-06-15 21:09:17 UTC","435","Hardpoint","Valkyrie","Tainted Minds","Swiftazor","L","90","14","16","-2","0.88","19.3","22.1","7","2","0","0","0","11","69","406","17.0%","17","401.8","23.6","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","1","1","0","0","1","0","0","0","0","0","0","0","0"
"f0a65936-4932-5c7c-a1b5-3a294762b2da","pool-A-3","2018-06-15 21:09:17 UTC","435","Hardpoint","Valkyrie","Tainted Minds","Swifty","L","90","9","20","-11","0.45","12.4","27.6","3","0","0","1","1","8","38","256","14.8%","22","394.1","17.9","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","23","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"612d1e21-392c-5204-b136-c7ff01ec2d1f","pool-A-0","2018-06-15 21:13:06 UTC","546","Hardpoint","Ardennes Forest","Echo Fox","Aqua","W","250","25","16","+9","1.56","27.5","17.6","10","2","0","0","0","22","119","477","24.9%","17","511.8","30.1","STG-44","","Scoped","Fighter Pilot, Glide Bomb, Artillery Barrage","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","3","1","0","0","1","0","0","1","3","3","3","2","1"
"612d1e21-392c-5204-b136-c7ff01ec2d1f","pool-A-0","2018-06-15 21:13:06 UTC","546","Hardpoint","Ardennes Forest","Echo Fox","Faccento","W","250","21","13","+8","1.62","23.1","14.3","6","1","1","1","0","17","102","550","18.5%","15","519.7","34.6","STG-44","","infantry_grandmaster","Fighter Pilot, Glide Bomb, Artillery Barrage","142","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","1","0","0","0","1","0","0","1","1","1","1","0"
"612d1e21-392c-5204-b136-c7ff01ec2d1f","pool-A-0","2018-06-15 21:13:06 UTC","546","Hardpoint","Ardennes Forest","Echo Fox","Saints","W","250","27","23","+4","1.17","29.7","25.3","7","0","1","1","2","18","95","345","27.5%","27","495.1","18.3","PPSh-41","","Instincts","Fighter Pilot, Glide Bomb, Artillery Barrage","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","0","0","0","1","0","0","0","0","0","0","0","0"
"612d1e21-392c-5204-b136-c7ff01ec2d1f","pool-A-0","2018-06-15 21:13:06 UTC","546","Hardpoint","Ardennes Forest","Echo Fox","Temp","W","250","31","24","+7","1.29","34.1","26.4","9","2","0","2","0","18","115","490","23.5%","25","497.1","19.9","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","6","0","0","0","0","1","0","0","0","0","0","0","0"
"612d1e21-392c-5204-b136-c7ff01ec2d1f","pool-A-0","2018-06-15 21:13:06 UTC","546","Hardpoint","Ardennes Forest","Evil Geniuses","Aches","L","114","17","23","-6","0.74","18.7","25.3","12","2","0","1","1","12","79","463","17.1%","25","499.2","20.0","STG-44","","Scoped","Fighter Pilot, Glide Bomb, Artillery Barrage","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"612d1e21-392c-5204-b136-c7ff01ec2d1f","pool-A-0","2018-06-15 21:13:06 UTC","546","Hardpoint","Ardennes Forest","Evil Geniuses","Apathy","L","114","23","28","-5","0.82","25.3","30.8","9","1","0","0","0","11","92","424","21.7%","28","488.6","17.5","PPSh-41","","airborne_grandmaster","Fighter Pilot, Glide Bomb, Artillery Barrage","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"612d1e21-392c-5204-b136-c7ff01ec2d1f","pool-A-0","2018-06-15 21:13:06 UTC","546","Hardpoint","Ardennes Forest","Evil Geniuses","Assault","L","114","16","24","-8","0.67","17.6","26.4","6","1","0","0","0","9","74","388","19.1%","25","496.8","19.9","STG-44","","infantry_grandmaster","Fighter Pilot, Glide Bomb, Artillery Barrage","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"612d1e21-392c-5204-b136-c7ff01ec2d1f","pool-A-0","2018-06-15 21:13:06 UTC","546","Hardpoint","Ardennes Forest","Evil Geniuses","Silly","L","114","20","29","-9","0.69","22.0","31.9","11","5","0","0","0","11","87","343","25.4%","30","486.8","16.2","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","1","0","0","0","0","0","0","0","0","0","0","0"
"643bad7b-6b29-58dc-8ffa-bac6b736d391","pool-A-2","2018-06-15 21:14:53 UTC","582","Hardpoint","Valkyrie","Mindfreak","Buzzo","L","211","21","20","+1","1.05","21.6","20.6","7","0","0","0","0","16","89","376","23.7%","21","530.5","25.3","BAR","","infantry_grandmaster","Fighter Pilot, Glide Bomb, Artillery Barrage","52","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"643bad7b-6b29-58dc-8ffa-bac6b736d391","pool-A-2","2018-06-15 21:14:53 UTC","582","Hardpoint","Valkyrie","Mindfreak","Denz","L","211","28","19","+9","1.47","28.9","19.6","7","3","0","0","0","23","132","438","30.1%","20","543.2","27.2","PPSh-41","","Instincts","Fighter Pilot, Glide Bomb, Artillery Barrage","111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","4","0","0","2","0","0","0","0","0","0","0","0","0"
"643bad7b-6b29-58dc-8ffa-bac6b736d391","pool-A-2","2018-06-15 21:14:53 UTC","582","Hardpoint","Valkyrie","Mindfreak","Fighta","L","211","23","23","0","1.00","23.7","23.7","10","1","0","1","1","16","106","521","20.3%","25","533.1","21.3","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","49","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","3","1","0","1","0","0","0","0","0","0","0","0","0"
"643bad7b-6b29-58dc-8ffa-bac6b736d391","pool-A-2","2018-06-15 21:14:53 UTC","582","Hardpoint","Valkyrie","Mindfreak","Shockz","L","211","20","22","-2","0.91","20.6","22.7","11","1","0","0","0","15","82","296","27.7%","23","537.0","23.4","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","70","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"643bad7b-6b29-58dc-8ffa-bac6b736d391","pool-A-2","2018-06-15 21:14:53 UTC","582","Hardpoint","Valkyrie","Unilad","Alex","W","250","16","26","-10","0.62","16.5","26.8","8","0","0","0","1","10","85","411","20.7%","28","526.6","18.8","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"643bad7b-6b29-58dc-8ffa-bac6b736d391","pool-A-2","2018-06-15 21:14:53 UTC","582","Hardpoint","Valkyrie","Unilad","Seany","W","250","19","23","-4","0.83","19.6","23.7","8","0","0","0","0","15","94","393","23.9%","24","534.1","22.3","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","81","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"643bad7b-6b29-58dc-8ffa-bac6b736d391","pool-A-2","2018-06-15 21:14:53 UTC","582","Hardpoint","Valkyrie","Unilad","Wuskin","W","250","30","17","+13","1.76","30.9","17.5","8","2","0","2","0","20","104","399","26.1%","18","547.3","30.4","BAR","","Scoped","Glide Bomb, Artillery Barrage","135","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","4","0","0","1","0","0","0","0","0","0","0","0","0"
"643bad7b-6b29-58dc-8ffa-bac6b736d391","pool-A-2","2018-06-15 21:14:53 UTC","582","Hardpoint","Valkyrie","Unilad","Zed","W","250","19","26","-7","0.73","19.6","26.8","7","2","0","0","1","9","101","431","23.4%","28","526.8","18.8","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Flamethrower","43","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"33acc99c-7f02-5c12-bf6a-d7b0852e86d1","pool-A-1","2018-06-15 21:14:59 UTC","642","Hardpoint","Gibraltar","eUnited","Arcitys","W","250","26","23","+3","1.13","24.3","21.5","8","1","0","0","0","20","122","418","29.2%","23","597.0","26.0","STG-44","","infantry_grandmaster","Fighter Pilot, Glide Bomb, Artillery Barrage","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","6","0","0","0","1","0","0","0","1","0","0","0","0"
"33acc99c-7f02-5c12-bf6a-d7b0852e86d1","pool-A-1","2018-06-15 21:14:59 UTC","642","Hardpoint","Gibraltar","eUnited","Clayster","W","250","24","27","-3","0.89","22.4","25.2","10","1","0","0","0","18","120","417","28.8%","28","586.7","21.0","BAR","","infantry_grandmaster","Fighter Pilot, Glide Bomb, Artillery Barrage","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","3","1","0","1","0","0","0","0","0","0","0","0","0"
"33acc99c-7f02-5c12-bf6a-d7b0852e86d1","pool-A-1","2018-06-15 21:14:59 UTC","642","Hardpoint","Gibraltar","eUnited","Felony","W","250","27","23","+4","1.17","25.2","21.5","11","1","0","0","0","18","103","444","23.2%","24","588.5","24.5","PPSh-41","","Energetic","Fighter Pilot, Glide Bomb, Artillery Barrage","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"33acc99c-7f02-5c12-bf6a-d7b0852e86d1","pool-A-1","2018-06-15 21:14:59 UTC","642","Hardpoint","Gibraltar","eUnited","Prestinni","W","250","35","26","+9","1.35","32.7","24.3","5","1","0","0","0","22","120","468","25.6%","27","579.8","21.5","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","48","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","4","1","0","1","0","1","1","0","2","2","2","2","0"
"33acc99c-7f02-5c12-bf6a-d7b0852e86d1","pool-A-1","2018-06-15 21:14:59 UTC","642","Hardpoint","Gibraltar","FaZe Clan","Attach","L","182","28","23","+5","1.22","26.2","21.5","10","4","0","0","0","19","127","464","27.4%","24","594.7","24.8","STG-44","","Scoped","Fighter Pilot, Glide Bomb, Artillery Barrage","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"33acc99c-7f02-5c12-bf6a-d7b0852e86d1","pool-A-1","2018-06-15 21:14:59 UTC","642","Hardpoint","Gibraltar","FaZe Clan","Priestah","L","182","19","31","-12","0.61","17.8","29.0","3","3","0","0","0","10","83","318","26.1%","32","578.6","18.1","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"33acc99c-7f02-5c12-bf6a-d7b0852e86d1","pool-A-1","2018-06-15 21:14:59 UTC","642","Hardpoint","Gibraltar","FaZe Clan","Replays","L","182","21","24","-3","0.88","19.6","22.4","15","0","0","0","0","15","113","386","29.3%","25","592.9","23.7","STG-44","","Scoped","Fighter Pilot, Glide Bomb, Artillery Barrage","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"33acc99c-7f02-5c12-bf6a-d7b0852e86d1","pool-A-1","2018-06-15 21:14:59 UTC","642","Hardpoint","Gibraltar","FaZe Clan","Zoomaa","L","182","31","34","-3","0.91","29.0","31.8","4","4","0","0","0","20","125","514","24.3%","35","572.9","16.4","PPSh-41","","Hunker","Fighter Pilot, Glide Bomb, Artillery Barrage","41","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","3","1","0","1","1","0","0","0","0","0","0","0","0"
"ad2c7b96-466f-5105-9be1-6b03afe0423f","pool-A-0","2018-06-15 21:26:22 UTC","333","Search & Destroy","Ardennes Forest","Echo Fox","Aqua","W","6","7","4","+3","1.75","12.6","7.2","4","0","0","0","0","6","32","165","19.4%","8","280.4","35.0","STG-44","","armored_grandmaster","Fighter Pilot, Glide Bomb, Artillery Barrage","0","0","0","8","1","0","4","0","0","0","0","3","2","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ad2c7b96-466f-5105-9be1-6b03afe0423f","pool-A-0","2018-06-15 21:26:22 UTC","333","Search & Destroy","Ardennes Forest","Echo Fox","Faccento","W","6","4","5","-1","0.80","7.2","9.0","2","0","0","0","0","3","18","140","12.9%","8","261.8","32.7","STG-44","","Scoped","Fighter Pilot, Glide Bomb, Artillery Barrage","0","0","0","8","1","1","3","0","0","0","0","2","1","0","0","0","0","0","0","0","0.0","1","0","0","0","0","0","0","0","0","0","0","0","0"
